gene	score
ANKRD12	1.3560904607947042
CSDE1	1.3547570679584324
CAMKK1	1.353422653501586
NUP88	1.3467507722182954
RBM7	1.3443948868205222
SEMA4D	1.3390230006312855
CISD2	1.3366775515945297
TMEM238	1.3339837013968134
C19ORF47	1.3306353061430611
CBLB	1.3299355899943353
MTM1	1.3245842749273387
TBC1D22B	1.307379246507014
VAMP3	1.2959875196007107
CCDC9	1.2959875196007107
URI1	1.290494276816626
PCYT1A	1.2887422503245216
RPP30	1.2858465843563176
PRKAR2A	1.2850821313686245
PITPNM1	1.2809288860234116
HAUS6	1.273422494534368
MADD	1.2720286278943125
UTP18	1.2642480384236592
CARD11	1.2458323323469682
NOP2	1.2454268491843727
PRR11	1.2407968113107073
PLCH2	1.2407968113107073
TAOK3	1.237565834049554
SNRNP200	1.2254110700909735
CAPZA2	1.2225707356182123
IQSEC1	1.2208808180962862
ADD1	1.2208808180962862
SPRY1	1.200464443566113
YWHAZ	1.1996028308022022
IQGAP1	1.19917090738013
STRN4	1.1988706922580243
PHF14	1.1984358120279435
CWC22	1.197250432909405
ZNF22	1.1943711934847008
ATF7IP	1.1914890692162012
EIF4G1	1.1887162252863603
PPM1G	1.1882712342844557
ZBTB48	1.1849320182659202
TRIM37	1.1849320182659202
RBM14	1.177136563516954
EP300	1.1744225399641814
MAPK1	1.1685123635772416
RBM34	1.1536838405106757
CLASP2	1.152305352594381
H2BC12	1.1151996309803736
NELFE	1.1142627758978354
LAT	1.1088526293459533
ABCF1	1.1083812897665628
PRKCD	1.0895398090113924
APOBR	1.0751544736333
DDX10	1.0643661811762046
GCSAM	1.0643661811762046
FAM193A	1.0638798352655359
MORC3	1.0534171624704651
BIRC6	1.0524755869546851
CAMK4	1.0524755869546851
SPECC1L	1.0459832369036655
ARHGDIA	1.0365026360577547
RIC1	1.0235285697027225
STAT1	1.0175292486751788
HTT	1.0105276272341754
SUGT1	1.0105237159320821
RPS6KB1	1.0014983473002843
PI4KB	0.993992144376681
UGP2	0.9854527429243377
TACC1	0.9829224380051133
HUWE1	0.9355508645476058
THOC5	0.9284049458943626
MMACHC	0.9232403932801415
ALKBH5	0.9201204589084467
TMX1	0.9079253845804938
MAP2K7	0.90032108309903
ATXN2L	0.8916373258262111
DOCK7	0.8915603750193897
ACACA	0.8833178095645786
SGTA	0.8832330775153601
STAU2	0.8804214100033558
TRPM7	0.8750367855703051
NUP210	0.8570684291051279
SGPP1	0.844620960013462
ARAP1	0.8405045706578537
RELB	0.8282664168141404
CNOT4	0.8136400135138835
HSH2D	0.79267553398302
DDX20	0.7778304251492568
SUB1	0.7638094288663243
CXCR4	0.7560799158237904
PLEKHF1	0.7237937806530432
LYAR	0.7112849604200702
ZZEF1	0.6989378434119988
NBEAL2	0.6909951399256792
PLCL2	0.6876339889719626
NCK1	0.6559179364781365
FOXK1	0.6493217435568828
ITGAE	0.6209392104110607
CLASP1	0.6007390163128068
USP1	0.5749235914026494
STX5	0.5743200263748627
ZFP36L2	0.5675071646500028
SLC7A6OS	0.5504410183756725
CETN2	0.54722353116738
GTF2I	0.54722353116738
BORCS6	0.5440046365612207
PTPN22	0.5421736668280723
LMNA	0.5421736668280723
ZNF395	0.5411150848214855
RALGPS2	0.5411150848214855
MDM1	0.5411150848214855
ERCC6	0.5408892284879702
ZNF217	0.5408892284879702
ITPR3	0.5390478627418398
CCNY	0.5388185718738359
RGS19	0.535355899078765
WDR26	0.5337393820899096
LIG3	0.5336517342855647
KAT6A	0.5336517342855647
PRIMPOL	0.5336517342855647
C2CD2L	0.5270728901277799
SCML2	0.5249619513137056
RAB10	0.5249619513137056
ABI3	0.522715281046225
FUBP1	0.5189674614534308
SYNE2	0.5184370839085841
MON2	0.5184370839085841
SSH2	0.5184370839085841
OSBPL11	0.5184370839085841
AREL1	0.5184370839085841
E2F8	0.5184370839085841
HNRNPA1	0.5184370839085841
HEATR1	0.517177569138108
GPBP1L1	0.517177569138108
HMGA1	0.516916793966632
ERC1	0.5143914795326376
PPP3CB	0.5143914795326376
RPL37A	0.5137593698400271
