contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_5min,αCD3 5min,STK11,12,-0.46799999999999997,-1.5153622629610375,0.82598625,0.8539121513238255
aCD3_5min,αCD3 5min,PLK4,5,1.831,0.7934907246079125,0.805566,1.292307481611329
aCD3_5min,αCD3 5min,ROCK2,7,-0.44685714285714273,-1.2359729034457307,0.8726935714285713,1.0676210704999918
aCD3_5min,αCD3 5min,CDC7,7,0.8281428571428572,-0.0995008682647397,0.9339735714285713,1.063615987793521
aCD3_5min,αCD3 5min,ZAP70,15,0.6614666666666668,-0.17316301542736653,0.7854963333333334,0.7162595682488043
aCD3_5min,αCD3 5min,YES1,6,-1.2575,-1.7348911020279425,0.7396466666666666,1.1511654329958632
aCD3_5min,αCD3 5min,FER,6,-0.33816666666666667,-1.048768562488757,0.7903424999999998,1.0760326034074503
aCD3_5min,αCD3 5min,CAMK1,5,1.1562000000000003,0.2559736409564086,0.8189740000000001,1.3174247111538668
aCD3_5min,αCD3 5min,HIPK2,9,0.19266666666666665,-0.6155269160064044,0.7611977777777779,0.9236494722274594
aCD3_5min,αCD3 5min,EGFR,14,1.5328571428571427,0.9075506349962057,0.8012117857142858,0.8061757977238546
aCD3_5min,αCD3 5min,MAPK7,5,-0.3726,-0.8870956115513692,0.7411869999999999,1.2555433546246368
aCD3_5min,αCD3 5min,PDGFRB,5,2.113,1.1743307421426803,0.756764,1.1549012142230186
aCD3_5min,αCD3 5min,DYRK1A,8,0.03824999999999995,-0.754242715881414,0.808965625,1.0218403290767424
aCD3_5min,αCD3 5min,NLK,5,2.7825999999999995,1.5387303986932286,0.8584700000000001,1.2504659696292948
aCD3_5min,αCD3 5min,SYK,14,2.2313571428571426,1.8146701607896563,0.8021821428571428,0.7875673667208438
aCD3_5min,αCD3 5min,ITK,7,3.2017142857142855,2.304730417244984,0.7565707142857144,1.0609238951041542
aCD3_5min,αCD3 5min,PRKD2,11,3.504909090909091,3.114938499432834,0.8666981818181818,0.8469544132480538
aCD3_5min,αCD3 5min,RPS6KB2,5,0.005399999999999988,-0.8500354444382194,1.0721509999999999,1.2549488459331313
aCD3_5min,αCD3 5min,TBK1,13,1.980846153846154,1.7087313688954486,0.8405142307692307,0.6673558780711399
aCD3_5min,αCD3 5min,LATS1,9,1.6255555555555554,0.871185415123875,0.8106305555555556,0.9354208482520618
aCD3_5min,αCD3 5min,PTK2B,6,0.29833333333333334,-0.4583877727873125,0.8421975,1.1864718017228055
aCD3_5min,αCD3 5min,RET,11,2.563454545454545,1.8609700733221628,0.8155309090909091,0.939254027467127
aCD3_5min,αCD3 5min,MAP2K1,7,2.7807142857142852,1.7351448494697597,0.9436778571428571,1.0587222324019838
aCD3_5min,αCD3 5min,UHMK1,5,3.179,1.8655612307663079,0.759144,1.2971195799378865
aCD3_5min,αCD3 5min,CDK12,7,-1.8128571428571427,-2.5166900906805854,0.8204307142857143,1.0463298071121425
aCD3_5min,αCD3 5min,PRKAG2,8,-0.3836249999999999,-0.9536945424405338,0.691321875,1.1271395894215537
aCD3_5min,αCD3 5min,PRKAB1,5,-0.25739999999999963,-1.0245347351813539,0.9529480000000001,1.1813635579527275
