gene	score
KIF21A	1.7573790729562786
ATN1	1.7556339164688128
ARHGEF1	1.7552383626093948
GCSAM	1.7526477695210432
KIF18B	1.7526477695210432
MYCBP2	1.7526477695210432
UNKL	1.75204388308555
LSP1	1.7516408515395494
DDX17	1.7477968113107072
MRPS36	1.7477968113107072
NUP88	1.744565834049554
MORC3	1.7433276802058404
ABLIM1	1.7412482996991812
C15ORF39	1.7409912899259785
RNF168	1.7358808180962861
FSD1	1.7316053517265853
ARHGEF7	1.727894128997085
MFAP1	1.7209304910274263
NCL	1.7209304910274263
MPLKIP	1.7209304910274263
IQSEC1	1.7184890692162014
NUP210	1.7136040749169925
FTSJ3	1.7117162252863605
ENSA	1.7083791289717647
NDEL1	1.7083791289717647
NCOA2	1.7069320182659202
SLC7A6OS	1.7050356897160677
KMT2D	1.7045864754359328
CXCR4	1.7027826595441162
SSH2	1.7027826595441162
WRNIP1	1.7027826595441162
DDX3X	1.7023299746536087
TXNL1	1.7019677936226245
HSP90B1	1.7019677936226245
PRPF4B	1.6996838405106758
ANKRD12	1.6987655209749635
FOXK1	1.6987655209749635
SH2D3C	1.6943830069485828
RASA3	1.6930655014676876
RBM7	1.6926000178205807
FBXO4	1.6921338771157135
PUM2	1.689667080966489
MAP7D1	1.6832627758978356
RPS6KB1	1.6827933739869307
PCF11	1.6823812897665626
FYN	1.680436683923628
ATXN1	1.6789634207764375
DIAPH3	1.6774895195468946
XBP1	1.6735398090113924
RAPGEF6	1.6726327985172362
SENP1	1.6711544736333002
SORBS3	1.6697157496655288
ACACA	1.6697157496655288
VAMP8	1.6448798352655356
DDX10	1.6448798352655356
OSBPL8	1.6424171624704649
RECQL4	1.6424171624704649
TRPM7	1.6399283979408052
GPBP1L1	1.6394390323110999
SKA3	1.6304902941497101
MAP2K2	1.6260232147054057
NF1	1.6260232147054057
TBC1D22B	1.6175285697027226
CDV3	1.6145292486751788
TMSB4X	1.6130135783945931
RFC1	1.6094983473002842
PLEKHG2	1.607992144376681
TRAF7	1.6059780573583322
MMACHC	1.603452742924338
EIF4ENIF1	1.6018994788714251
H2BC12	1.6013871762633871
MAP9	1.587269163959741
ZNF551	1.5842342632055753
PARN	1.5841972225400183
RBM14	1.5796779027018755
JPT2	1.5796376699033254
BUB3	1.5791167592866076
OCC1	1.5740733554484796
THOC5	1.571550864547606
KLC1	1.5704556679603436
NR2C2	1.5704556679603436
PCBP1	1.5502972995720676
PNKP	1.5482403932801416
KATNA1	1.5451204589084466
PFKFB2	1.5375251862201542
RTF2	1.5369924207804475
USP1	1.5339253845804937
STAT3	1.5318563484566057
CCDC9	1.5307853209646176
KIF1C	1.5307123106055767
CCDC6	1.5301750644926233
CSDE1	1.5246373258262111
HEATR1	1.5220211649638409
MPRIP	1.5220211649638409
PJA2	1.5198594512297858
RIC1	1.5152330775153602
PPFIBP2	1.4968749813050568
MED1	1.495328079397176
URI1	1.4946845442643253
THEMIS2	1.4908332492772776
CARMIL2	1.4719592898932041
PCYT1A	1.4647355479190072
SNX17	1.4641784796064607
RC3H1	1.464062990058648
CLASP1	1.4633863871677235
EIF4G1	1.4633863871677235
INCENP	1.4607057638236918
ZHX3	1.4607057638236918
CD247	1.4465831267117877
PI4KB	1.4394587207218936
CDKN1A	1.4210749604524946
AKAP11	1.4210749604524946
SYMPK	1.418943549705831
STRN4	1.4152431850355127
BLM	1.3976899847302926
NBEAL2	1.3951189175867926
PIK3R5	1.3905474272238296
BIRC6	1.3792572502272522
SNRNP200	1.3729603680252063
MCM2	1.3712333376182855
RECQL5	1.355502586885769
HNRNPF	1.3471891695177047
FKBP8	1.3460300109844359
ARHGDIA	1.3460300109844359
CASP2	1.3438692276357265
RBM34	1.3387068257389514
CAPZA2	1.3335428115252925
CDK11A	1.3192099708927556
ZFP36L2	1.2994054323339972
SLC19A1	1.2587251755244937
CEMIP2	1.2581282330772323
LASP1	1.2533351661798227
HCLS1	1.2353392974793405
PPP2R5D	1.2353392974793405
HNRNPK	1.2271383675886736
JMJD1C	1.216732110595231
RELB	1.2113200263748627
RANBP1	1.1644410183756724
GON4L	1.1522235311673799
CDCA7L	1.1295023291466548
WASHC2C	1.1092034141514802
LIMK1	1.0921225267834
NCAPH2	1.0727951166447272
TLNRD1	1.0601755761363414
MDM2	1.0207156002808242
SGTA	1.0164624525403818
YTHDC2	1.004952315002893
CRKL	1.0048074843420416
ARAP1	1.0048074843420416
PSD4	0.990285935069947
TBC1D2B	0.9391499158968544
PSTPIP1	0.9328773775106688
NCK1	0.9269662902798049
ATG16L1	0.9263286553253608
OSBP	0.9247750995663572
PITPNM1	0.8956536153695644
POLA1	0.8853702730930854
MDM1	0.8655131778448942
NDRG1	0.8515806781330477
DYNC1LI1	0.8184725488222441
HLA-B	0.8101764298221967
ASAP1	0.7912812537252422
DMXL1	0.7826788236582675
CWC22	0.7398447499124701
HIP1R	0.7205688271346279
NDRG3	0.7182565461728786
RUFY2	0.677678900225844
DEAF1	0.6753601466116558
DHX16	0.628088019130899
LIPE	0.6274253352503056
NFIC	0.6157623895799155
SGPP1	0.6097719858855777
LMNB2	0.6084437485591939
GEMIN5	0.6084437485591939
ANK3	0.600114473761087
ZFYVE16	0.5994494483105924
KIF20A	0.5937867687880986
ADAM17	0.592453887939097
DYNC1I2	0.5921199839008121
SPHK2	0.5894491187772681
PLEKHA3	0.5894491187772681
PDPK1	0.5884433072661538
KAT7	0.583765361504449
E2F7	0.583765361504449
TMSB10	0.5830952471882962
CCNY	0.5723396216403714
ZC3H3	0.5723396216403714
YTHDF2	0.5723396216403714
CNOT4	0.5723396216403714
SRSF9	0.5723396216403714
GAPDH	0.5723396216403714
HMGB2	0.5723396216403714
ESYT1	0.5723396216403714
CCM2	0.5699655856583166
GOLGA3	0.5699655856583166
ZBTB48	0.5686142705913199
DENND4C	0.5675854848952276
BCL10	0.5659087409443188
HERC1	0.5648770679494979
ATRX	0.5621993644258134
TRAF1	0.5598072688241352
PLCB2	0.5598072688241352
MYSM1	0.559769161757557
MCM3	0.559769161757557
UBXN4	0.5594092421709952
FBXO38	0.5586421236032871
NCBP1	0.5545955696106097
TLN1	0.5539129203605022
MED14	0.553443412483436
ARHGAP25	0.553443412483436
BMP2K	0.553443412483436
BLTP1	0.553443412483436
MARF1	0.553443412483436
MAP7D3	0.5523885586277488
CHEK1	0.5522727025023002
NCOA7	0.5522727025023002
ATXN2	0.5522727025023002
MTMR6	0.5522727025023002
HNRNPA1	0.5515859332997972
GPR15	0.5508989383453484
ATP2B1	0.5494605886504758
RGS19	0.5494605886504758
CDS2	0.5494605886504758
ERBIN	0.5494605886504758
HELZ	0.5487722459885029
TSC2	0.5463948905136546
FAM169A	0.5446375079047503
OSBPL11	0.5446375079047503
LMO7	0.5446375079047503
KIAA1671	0.5399476075122869
ZNF280C	0.5365671432548721
SARAF	0.535185796467611
NLRC3	0.5344947929103174
MBD4	0.533803569661258
PLEKHA2	0.5304204653358688
MAP4	0.525958881687393
LAMTOR1	0.5238793224739727
ALKBH5	0.5207978166095688
NOL8	0.5157143723107968
RERE	0.5132376796666679
STX5	0.5115417010174826
APC	0.5098455096915742
YWHAZ	0.5030586235582937
ZSWIM8	0.49626835827337606
YJU2B	0.49187196432176195
CDC5L	0.4761768846642482
DOK2	0.4717750865245338
HMGA1	0.47137246554843837
