kinase_gene,substrate_gene
PRKAA1,PPP1R12C
PRKAA1,STBD1
PRKAA1,PAQR3
PRKAA1,TP53
PRKAA1,EGFR
PRKAA1,GBF1
PRKAA1,PRPS1
PRKAA1,TNNI3
PRKAA1,BECN1
PRKAA1,RPTOR
PRKAA1,SLC12A1
PRKAA1,PIAS1
PRKAA1,PPP2R5C
PRKAA1,HNF4A
PRKAA1,CSNK1E
PRKAA1,ERBB2
PRKAA1,USP10
PRKAA1,MKNK1
PRKAA1,SIRT7
PRKAA1,FANCA
PRKAA1,RASAL2
PRKAA1,KIF4A
PRKAA1,ULK1
PRKAA1,NCL
PRKAA1,ZNF692
PRKAA1,TP73
PRKAA1,TSC2
PRKAA1,LIPE
PRKAA1,TET2
PRKAA1,EZH2
PRKAA1,SREBF1
PRKAA1,GSR
PRKAA1,EP300
PRKAA1,TBC1D1
PRKAA1,TXNIP
PRKAA1,KLC1
PRKAA1,DNMT1
PRKAA1,GAPVD1
PRKAA1,HSF1
PRKAA1,PFKFB3
PRKAA1,CGN
PRKAA1,SIRT2
PRKAA1,POU2F1
PRKAA1,CTBP1
PRKAA1,SKP2
PRKAA1,SLC12A2
PRKAA1,CTTN
PRKAA1,BRAF
PRKAA1,SCN5A
PRKAA1,HAT1
PRKAA1,FOXO1
PRKAA1,NEDD4L
PRKAA1,INSIG1
PRKAA1,SYK
PRKAA1,ACSS2
PRKAA1,ACACB
PRKAA1,SQSTM1
CDK12,PAK2
CDK12,POLR2A
CAMK4,HDAC5
CAMK4,CREB1
CAMK4,HNRNPL
CAMK4,NOVA2
CAMK4,PHB2
CAMK4,CAMK2A
CAMK4,RELA
CAMK4,STMN1
GSK3B,VHL
GSK3B,FGF14
PRKAA2,REEP1
PRKAA2,PLD1
PRKAA2,HDAC5
PRKAA2,HIPK2
PRKAA2,ACACA
PRKAA2,TP53BP1
PRKAA2,PARP1
PRKAA2,PDHA1
PRKAA2,EEF2K
PRKAA2,DUSP1
PRKAA2,CDC27
PRKAA2,FOXO3
PRKAA2,GLI1
PRKAA2,PPP1R12C
PRKAA2,PINK1
PRKAA2,HAS2
PRKAA2,BAIAP2
PRKAA2,KLC4
PRKAA2,PAK2
PRKAA2,IKBKB
PRKAA2,REEP2
PRKAA2,TBC1D1
PRKAA2,TFAP2A
PRKAA2,MFF
PRKAA2,ARMC10
STK38L,NUAK1
STK38L,RAB3IP
STK38L,YAP1
STK38L,STK38L
CDC42BPB,CDC42BPB
CDC42BPB,SIAH2
PRKAA1,RAF1
PRKAA1,H2BC3
CSNK1E,PER2
CSNK1E,TARDBP
CSNK1E,DVL3
CSNK1E,SNAI1
CSNK1E,TRPM4
CSNK1E,NCOA3
CSNK1E,CSNK1E
CSNK1E,DVL2
CSNK1E,LRP6
CSNK1E,CDH1
CSNK1E,TRAF3
CSNK1E,RAD17
CSNK1E,APC
CSNK1E,CTNNB1
CSNK1E,EIF4EBP1
CSNK1E,PRKD2
CSNK1E,CTNND1
CSNK1E,FZD6
MAPKAPK2,MDM2
MAPKAPK2,HSPA1L
CAMK1,HDAC5
CAMK1,GCM1
CAMK1,CDKN1B
CAMK1,EIF4G3
CAMK1,MYL9
CAMK1,LIPE
CAMK1,CAMK2A
CAMK1,PPME1
CAMK1,RPS19
CAMK1,HDAC9
RPS6KB1,IRS1
BCR/ABL,RAD51
BCR/ABL,BCR
BCR/ABL,GRB2
BCR/ABL,ABL1
BCR/ABL,RAD52
BCR/ABL,CRKL
BCR/ABL,RHOA
BCR/ABL,CHCHD2
BCR/ABL,LASP1
YES1,CDC37
YES1,NFE2L2
YES1,PTK2
YES1,ANXA2
YES1,NPHS1
YES1,ERBB2
YES1,WBP2
YES1,CDKN1B
YES1,DPYSL2
YES1,ETS1
YES1,ALOX5
YES1,CDK4
YES1,SOCS1
AKT1,BCL2L11
AKT1,AKT1S1
AKT1,BCL3
AKT1,FOXO3
AKT1,NR4A1
PIK3CG,SET
PIK3CG,SRC
PIK3CG,PIK3CG
TBK1,PELI1
TBK1,SQSTM1
TBK1,PRPS1
TBK1,LMO7
TBK1,OPTN
TBK1,GABARAPL2
TBK1,DDAH2
TBK1,TRIP12
TBK1,RPS6KB1
TBK1,ASB8
TBK1,SMCR8
TBK1,STING1
TBK1,MAPT
TBK1,IRF3
TBK1,MAP1LC3C
TBK1,E2F1
TBK1,HTT
TBK1,IRF7
TBK1,SIKE1
TBK1,AKT1
TBK1,TRIM56
TBK1,STAT6
TBK1,PRPS2
TBK1,STX17
TBK1,MTOR
TBK1,TBK1
TBK1,RPTOR
TBK1,IRF5
TBK1,XIAP
TBK1,TICAM1
TBK1,PBXIP1
TBK1,RELA
TBK1,MAVS
TBK1,PEBP1
TBK1,STAT2
TBK1,ESR1
TEK,TEK
RPS6KA3,FOS
PRKD3,HDAC5
PRKD3,PRKD1
PRKD3,CTTN
PRKD3,GIT1
PRKD3,MFF
CSF1R,CSF1R
PRKCB,MAPT
PRKCB,ITGB2
PRKCB,TRPV1
PRKCB,DAB2
PRKCB,PRKCB
PRKCB,PPARA
PRKCB,ATF2
PRKCB,KIR3DL1
PRKCB,EIF6
PRKCB,PTPN11
PRKCB,GSK3B
PRKCB,MYH9
PRKCB,RPS6KB2
PRKCB,TRPV6
PRKCB,C5AR1
PRKCB,NCF1
PRKCB,MFN1
PRKCB,EIF3A
PRKCB,LMNB1
PRKCB,SYT6
PRKCB,MCU
PRKCB,EIF4G1
PRKCB,RAB11A
PRKCB,TP73
PRKCB,CHAT
PRKCB,FUS
PRKCB,GHRL
PRKCB,KCNE1
PRKCB,GSK3A
SYK,SLC4A1
SYK,GCSAM
SYK,SHC1
SYK,FCGR2C
SYK,PRDX2
SYK,LAX1
SYK,PLCG1
SYK,BLNK
SYK,PLCG2
SYK,HCLS1
SYK,FCGR2A
SYK,IKZF1
SYK,CFTR
SYK,LAT2
SYK,DEPTOR
SYK,CTTN
SYK,ARHGDIB
SYK,STAT5A
SYK,CBL
SYK,SNCA
SYK,DUSP3
SYK,SYK
SYK,BTK
SYK,MAPT
SYK,RHBG
SYK,LCP2
SYK,STAT1
SYK,PIP5K1B
STK39,SLC12A1
STK39,SLC4A4
STK39,SLC12A2
STK39,SLC12A6
STK39,SLC12A3
STK39,SNAI1
HUNK,ITM2A
LYN,CSNK2A1
LYN,HCLS1
PRKCI,LLGL1
PRKCI,LLGL2
IRAK1,PELI1
IRAK1,IRAK1
IRAK1,PELI2
IRAK1,STAT3
CDKL5,LRRC4C
CDKL5,CEP131
CDKL5,CDKL5
CDKL5,MAP1S
CDKL5,DLG5
MAPK11,EP300
MAPK11,ATF2
MAPK11,SOD2
MAPK11,MAPK11
MAPK11,SNX27
MAPK11,EEF2K
MAPK11,HSF1
MAPK11,RPTOR
MAPK11,E2F1
MAPK11,EGFR
MAPK11,MAPKAPK5
MAPK11,CDC25B
MAPK11,KAT5
MAPK11,HNF4A
MAPK11,ATF7
MAPK11,GYS1
MAPK11,PRKCE
MAPK11,SREBF1
MAPK11,EWSR1
MAPK11,CCND3
MAPK11,NR3C1
ERBB4,ERBB4
RPS6KA6,RPS6KA6
RPS6KA6,EP300
STYK1,BECN1
MAPK4,AKT1
PINK1,ZNF746
PINK1,LETM1
PINK1,MFN2
PINK1,PINK1
PINK1,TUFM
PINK1,UBA52-RPS27A-UBB-UBC
PINK1,RHOT1
PINK1,BCL2L1
PINK1,PRKN
PINK1,EEF1A1
EGFR,MAPK1
EGFR,MAPK3
RAF1,RAF1
RAF1,KLF10
RAF1,BAD
RAF1,MAP2K1
RAF1,EEF1A2
RAF1,MYC
RAF1,PPP1R12A
NME1,NME1
NME1,PGAM1
MYLK3,MEF2C
MYLK3,TNNI3
CDK11B,AR
CDK11B,EIF3F
GSK3B,NFKB1
GSK3B,GSK3B
MAPKAPK2,TAB3
MAPKAPK2,CDC25B
MAPKAPK2,POU5F1
MAPKAPK2,HNRNPA0
MAPKAPK2,GJA1
MAPKAPK2,HSPB1
MAPKAPK2,LIMK1
MAPKAPK2,WNK4
MAPKAPK2,CREB1
MAPKAPK2,RCSD1
MAPKAPK2,MRTFA
MAPKAPK2,YWHAZ
MAPKAPK2,AGO2
MAPKAPK2,BAG2
MAPKAPK2,RBM7
MAPKAPK2,EEF2K
MAPKAPK2,KRT18
MAPKAPK2,TH
MAPKAPK2,NELFE
MAPKAPK2,MAPKAPK2
MAPKAPK2,ZFP36L1
MAPKAPK2,RTN4
MAPKAPK2,PLK1
MAPKAPK2,CEP131
MAPKAPK2,AKT1
MAPKAPK2,ARPC5
