gene	score
PSIP1	-0.0450929857226292
PCF11	-0.0450929857226292
RREB1	-0.04887832267809495
MAP2K7	-0.06187542374654392
LBR	-0.06342907788823886
MTA1	-0.06420573281676811
KAT5	-0.09351659430598681
UBAP2L	-0.12035807506115707
GPKOW	-0.1231315851045749
TRA2A	-0.12467825053115378
LYAR	-0.1333154006201791
FOXK1	-0.1360878425945886
HOOK3	-0.1444044522381504
SENP7	-0.14649158909195548
GPATCH4	-0.1478056803177862
BZW1	-0.1501186865306035
TRIM56	-0.1501186865306035
STAT1	-0.1705903706833709
SERBP1	-0.18751074429024997
YY1	-0.20065379017559062
GFI1	-0.20065379017559062
NAB1	-0.20065379017559062
BLTP1	-0.20065379017559062
GLS	-0.20065379017559062
FKBP3	-0.20065379017559062
HMGB2	-0.20065379017559062
RAB10	-0.20065379017559062
LMO7	-0.20065379017559062
MAPRE2	-0.20065379017559062
RIPOR1	-0.20065379017559062
SEPTIN1	-0.20065379017559062
BCL10	-0.20065379017559062
BCL7B	-0.20065379017559062
REXO4	-0.20065379017559062
HNRNPF	-0.2010578448634917
EMSY	-0.20862531641157858
DGCR8	-0.21214675495058877
HNRNPL	-0.22698667846818912
DCK	-0.2322642588695566
RBM15B	-0.23629915962372222
ORC1	-0.24108976178869507
OCIAD2	-0.24639092677903998
MTDH	-0.2509294745354062
LRRFIP2	-0.2552182078274301
HUWE1	-0.2697865930283553
FIP1L1	-0.28355856536670376
CLTC	-0.28380654010190615
NAA10	-0.2885055826186661
PSTPIP1	-0.2885055826186661
SAP30BP	-0.290909830929517
VRK3	-0.29588191451614865
PATL1	-0.2984017214460316
DDI2	-0.3095581516384538
DBF4	-0.3095581516384538
MARK3	-0.311761524422909
C2CD5	-0.3232924870750273
KATNBL1	-0.3329508286650797
PI4KA	-0.36862945488243704
MIEF1	-0.37008624720448485
SCAF11	-0.3788916022348065
NFKBIE	-0.38506568538004887
KIF13B	-0.39023819484979916
NUP88	-0.4014091246357461
KDM5A	-0.4231905017677938
ASXL1	-0.4267980847946326
MNAT1	-0.43768092795507096
FSD1	-0.4442804285733861
KMT2D	-0.4442804285733861
RPA2	-0.4548753982896606
PRPF4B	-0.47718333972625737
DNAJC21	-0.4820516270808875
H1-3	-0.4877682375230974
ZEB1	-0.4877682375230974
CWF19L2	-0.4877682375230974
RBM15	-0.5131987120021021
KMT2E	-0.5149108137602676
SEMA4D	-0.523179404894662
RALGAPA2	-0.5270212855899601
OCIAD1	-0.5341124034363722
DDX39A	-0.5910166436361749
SNW1	-0.5920836798361286
CD5	-0.6252727025023003
